Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2018-05-31,Nonmarketable,Government Account Series,242281.5599871,5689816.45177097,5932098.01175807,12,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,3,2018,2,05,31
2018-05-31,Nonmarketable,Other,1635.1813544,0,1635.1813544,13,2018,3,2018,2,05,31
2018-04-30,Total Public Debt Outstanding,_,15335128.3684948,5733072.08959186,21068200.4580866,15,2018,3,2018,2,04,30
2018-04-30,Marketable,Bills,2166346.1634,2640.817,2168986.9804,1,2018,3,2018,2,04,30
2018-04-30,Marketable,Notes,8970018.1388,4201.3481,8974219.4869,2,2018,3,2018,2,04,30
2018-04-30,Marketable,Floating Rate Notes,325794.2944,16.52,325810.8144,5,2018,3,2018,2,04,30
2018-04-30,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,3,2018,2,04,30
2018-04-30,Marketable,Bonds,2042166.2234,7807.7192,2049973.9426,3,2018,3,2018,2,04,30
2018-04-30,Marketable,Treasury Inflation-Protected Securities,1319120.16321679,324.48638237,1319444.64959916,4,2018,3,2018,2,04,30
2018-04-30,Total Marketable,_,14823444.9832168,26448.08968237,14849893.0728992,7,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,State and Local Government Series,82219.1423363,0,82219.1423363,10,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,United States Savings Securities,158605.80178622,0,158605.80178622,11,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Other,1645.31001928,0,1645.31001928,13,2018,3,2018,2,04,30
2018-04-30,Nonmarketable,Government Account Series,238953.609136199,5706623.99990949,5945576.60904569,12,2018,3,2018,2,04,30
2018-04-30,Total Nonmarketable,_,511683.385277999,5706623.99990949,6218307.38518748,14,2018,3,2018,2,04,30
2018-03-31,Marketable,Bills,2284417.4103,4551.547,2288968.9573,1,2018,2,2018,1,03,31
2018-03-31,Marketable,Notes,8920299.8521,4255.4711,8924555.3232,2,2018,2,2018,1,03,31
2018-03-31,Marketable,Bonds,2033787.4012,3164.3781,2036951.7793,3,2018,2,2018,1,03,31
2018-03-31,Marketable,Treasury Inflation-Protected Securities,1348478.7074453,338.70928587,1348817.41673117,4,2018,2,2018,1,03,31
2018-03-31,Marketable,Floating Rate Notes,333968.4717,16.52,333984.9917,5,2018,2,2018,1,03,31
2018-03-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,03,31
2018-03-31,Total Marketable,_,14920951.8427453,23783.82448587,14944735.6672312,7,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,State and Local Government Series,84595.17242444,0,84595.17242444,10,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,United States Savings Securities,159040.00186756,0,159040.00186756,11,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Government Account Series,231471.02796571,5637849.08419115,5869320.11215685,12,2018,2,2018,1,03,31
2018-03-31,Nonmarketable,Other,1692.33961843,0,1692.33961843,13,2018,2,2018,1,03,31
2018-03-31,Total Nonmarketable,_,507058.06387614,5637849.08419115,6144907.14806728,14,2018,2,2018,1,03,31
2018-03-31,Total Public Debt Outstanding,_,15428009.9066214,5661632.90867702,21089642.8152984,15,2018,2,2018,1,03,31
2018-02-28,Total Nonmarketable,_,496080.68415108,5681648.70725828,6177730.39140936,14,2018,2,2018,1,02,28
2018-02-28,Marketable,Bills,2074218.2805,3748.055,2077966.3355,1,2018,2,2018,1,02,28
2018-02-28,Marketable,Notes,8894907.0967,4649.4141,8899556.5108,2,2018,2,2018,1,02,28
2018-02-28,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,02,28
2018-02-28,Marketable,Bonds,2020732.612,3219.2052,2023951.8172,3,2018,2,2018,1,02,28
2018-02-28,Marketable,Treasury Inflation-Protected Securities,1330681.94741742,343.20167631,1331025.14909373,4,2018,2,2018,1,02,28
2018-02-28,Marketable,Floating Rate Notes,333968.4717,16.52,333984.9917,5,2018,2,2018,1,02,28
2018-02-28,Total Marketable,_,14654508.4083174,23433.59497631,14677942.0032937,7,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,State and Local Government Series,83390.13735637,0,83390.13735637,10,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Other,1786.77706041,0,1786.77706041,13,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,Government Account Series,221168.9073269,5681648.70725828,5902817.61458518,12,2018,2,2018,1,02,28
2018-02-28,Nonmarketable,United States Savings Securities,159475.3404074,0,159475.3404074,11,2018,2,2018,1,02,28
2018-02-28,Total Public Debt Outstanding,_,15150589.0924685,5705082.30223459,20855672.3947031,15,2018,2,2018,1,02,28
2018-01-31,Nonmarketable,Other,1797.17033367,0,1797.17033367,13,2018,2,2018,1,01,31
2018-01-31,Total Public Debt Outstanding,_,14803169.5870704,5690560.18908585,20493729.7761562,15,2018,2,2018,1,01,31
2018-01-31,Total Nonmarketable,_,312599.04095049,5666585.79200255,5979184.83295304,14,2018,2,2018,1,01,31
2018-01-31,Marketable,Bills,1963108.9011,3830.453,1966939.3541,1,2018,2,2018,1,01,31
2018-01-31,Marketable,Notes,8884060.49449999,5114.7071,8889175.20159999,2,2018,2,2018,1,01,31
2018-01-31,Marketable,Bonds,2001727.3211,3202.4029,2004929.724,3,2018,2,2018,1,01,31
2018-01-31,Marketable,Treasury Inflation-Protected Securities,1322714.34021989,345.1250833,1323059.46530319,4,2018,2,2018,1,01,31
2018-01-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,2,2018,1,01,31
2018-01-31,Marketable,Floating Rate Notes,318959.4892,24.51,318983.9992,5,2018,2,2018,1,01,31
2018-01-31,Total Marketable,_,14490570.5461199,23974.3970833,14514544.9432032,7,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,United States Savings Securities,159902.40041584,0,159902.40041584,11,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Government Account Series,34070.13631048,5666585.79200255,5700655.92831303,12,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,2,2018,1,01,31
2018-01-31,Nonmarketable,State and Local Government Series,86569.8118905,0,86569.8118905,10,2018,2,2018,1,01,31
2017-12-31,Marketable,Bills,1952521.0083,3411.55,1955932.5583,1,2018,1,2017,4,12,31
2017-12-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,1,2017,4,12,31
2017-12-31,Marketable,Floating Rate Notes,343027.3702,24.51,343051.8802,5,2018,1,2017,4,12,31
2017-12-31,Marketable,Bonds,1989230.8254,3293.2359,1992524.0613,3,2018,1,2017,4,12,31
2017-12-31,Marketable,Treasury Inflation-Protected Securities,1327160.03790858,368.18437451,1327528.22228309,4,2018,1,2017,4,12,31
2017-12-31,Marketable,Notes,8844127.9509,5615.7311,8849743.682,2,2018,1,2017,4,12,31
2017-12-31,Total Marketable,_,14456067.1927086,24170.41037451,14480237.6030831,7,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,State and Local Government Series,92446.88555741,0,92446.88555741,10,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,United States Savings Securities,160475.5066076,0,160475.5066076,11,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Government Account Series,73657.97238436,5653855.00801547,5727512.98039983,12,2018,1,2017,4,12,31
2017-12-31,Nonmarketable,Other,1812.88328747,0,1812.88328747,13,2018,1,2017,4,12,31
2017-12-31,Total Nonmarketable,_,358653.76983684,5653855.00801547,6012508.77785231,14,2018,1,2017,4,12,31
2017-12-31,Total Public Debt Outstanding,_,14814720.9625454,5678025.41838998,20492747.3809354,15,2018,1,2017,4,12,31
2017-11-30,Total Public Debt Outstanding,_,14918735.6423589,5671656.14450528,20590391.7868641,15,2018,1,2017,4,11,30
2017-11-30,Marketable,Bills,1967576.6673,3333.251,1970909.9183,1,2018,1,2017,4,11,30
2017-11-30,Marketable,Notes,8825124.2438,5620.3771,8830744.6209,2,2018,1,2017,4,11,30
2017-11-30,Marketable,Bonds,1977262.9073,3262.1037,1980525.011,3,2018,1,2017,4,11,30
2017-11-30,Marketable,Floating Rate Notes,330021.7669,30.07,330051.8369,5,2018,1,2017,4,11,30
2017-11-30,Marketable,Treasury Inflation-Protected Securities,1313480.01413374,372.49113876,1313852.5052725,4,2018,1,2017,4,11,30
2017-11-30,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,1,2017,4,11,30
2017-11-30,Total Marketable,_,14413465.5994337,24075.49193876,14437541.0913725,7,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,State and Local Government Series,85018.41114225,0,85018.41114225,10,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,United States Savings Securities,160901.76527223,0,160901.76527223,11,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,Government Account Series,227450.87544458,5647580.65256652,5875031.5280111,12,2018,1,2017,4,11,30
2017-11-30,Nonmarketable,Other,1639.46906607,0,1639.46906607,13,2018,1,2017,4,11,30
2017-11-30,Total Nonmarketable,_,505270.04292513,5647580.65256652,6152850.69549165,14,2018,1,2017,4,11,30
2017-10-31,Total Nonmarketable,_,501850.58406415,5666945.25257507,6168795.83663922,14,2018,1,2017,4,10,31
2017-10-31,Total Public Debt Outstanding,_,14751446.0903162,5691027.4530893,20442473.5434055,15,2018,1,2017,4,10,31
2017-10-31,Marketable,Bills,1853164.7565,2763.951,1855928.7075,1,2018,1,2017,4,10,31
2017-10-31,Marketable,Notes,8823959.0164,6173.591,8830132.6074,2,2018,1,2017,4,10,31
2017-10-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2018,1,2017,4,10,31
2017-10-31,Marketable,Bonds,1960409.9074,3294.0409,1963703.9483,3,2018,1,2017,4,10,31
2017-10-31,Marketable,Treasury Inflation-Protected Securities,1295052.28615204,344.22361423,1295396.50976627,4,2018,1,2017,4,10,31
2017-10-31,Marketable,Floating Rate Notes,317009.5398,49.195,317058.7348,5,2018,1,2017,4,10,31
2017-10-31,Total Marketable,_,14249595.506252,24082.20051423,14273677.7067663,7,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,United States Savings Securities,161189.43807227,0,161189.43807227,11,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,Government Account Series,226578.04345464,5666945.25257507,5893523.29602971,12,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,State and Local Government Series,82149.23566568,0,82149.23566568,10,2018,1,2017,4,10,31
2017-10-31,Nonmarketable,Other,1674.34487156,0,1674.34487156,13,2018,1,2017,4,10,31
2017-09-30,Marketable,Treasury Inflation-Protected Securities,1286123.51651995,392.2846967,1286515.80121665,4,2017,4,2017,3,09,30
2017-09-30,Marketable,Floating Rate Notes,342629.616,49.195,342678.811,5,2017,4,2017,3,09,30
2017-09-30,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2017,4,2017,3,09,30
2017-09-30,Total Marketable,_,14175677.0630199,24114.4855967,14199791.5486166,7,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,State and Local Government Series,80359.27326442,0,80359.27326442,10,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,United States Savings Securities,161705.2309827,0,161705.2309827,11,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,Government Account Series,223786.82021554,5547356.86731587,5771143.68753141,12,2017,4,2017,3,09,30
2017-09-30,Nonmarketable,Other,1640.65874023,0,1640.65874023,13,2017,4,2017,3,09,30
2017-09-30,Total Nonmarketable,_,497751.50520289,5547356.86731587,6045108.37251876,14,2017,4,2017,3,09,30
2017-09-30,Total Public Debt Outstanding,_,14673428.5682228,5571471.35291257,20244899.9211354,15,2017,4,2017,3,09,30
2017-09-30,Marketable,Bills,1799569.5752,2366.651,1801936.2262,1,2017,4,2017,3,09,30
2017-09-30,Marketable,Notes,8798940.09979999,6558.605,8805498.70479999,2,2017,4,2017,3,09,30
2017-09-30,Marketable,Bonds,1948414.2555,3290.5509,1951704.8064,3,2017,4,2017,3,09,30
2017-08-31,Marketable,Treasury Inflation-Protected Securities,1275905.29191277,390.04050296,1276295.33241573,4,2017,4,2017,3,08,31
2017-08-31,Total Marketable,_,14069264.8845128,24298.31540296,14093563.1999157,7,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,Government Account Series,37595.55261553,5438673.13102419,5476268.68363972,12,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,State and Local Government Series,80751.89276552,0,80751.89276552,10,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,Other,1668.38022524,0,1668.38022524,13,2017,4,2017,3,08,31
2017-08-31,Nonmarketable,United States Savings Securities,162021.77375068,0,162021.77375068,11,2017,4,2017,3,08,31
2017-08-31,Total Nonmarketable,_,312297.12135697,5438673.13102419,5750970.25238116,14,2017,4,2017,3,08,31
2017-08-31,Total Public Debt Outstanding,_,14381562.0058697,5462971.44642715,19844533.4522969,15,2017,4,2017,3,08,31
2017-08-31,Marketable,Bills,1745508.627,2413.788,1747922.415,1,2017,4,2017,3,08,31
2017-08-31,Marketable,Notes,8781809.986,6694.902,8788504.888,2,2017,4,2017,3,08,31
2017-08-31,Marketable,Bonds,1936399.7093,3305.3009,1939705.0102,3,2017,4,2017,3,08,31
2017-08-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2017,4,2017,3,08,31
2017-08-31,Marketable,Floating Rate Notes,329641.2703,37.085,329678.3553,5,2017,4,2017,3,08,31
2017-07-31,Total Nonmarketable,_,321043.73101345,5463691.56080687,5784735.29182032,14,2017,4,2017,3,07,31
2017-07-31,Total Public Debt Outstanding,_,14360944.4961994,5483964.55252737,19844909.0487267,15,2017,4,2017,3,07,31
2017-07-31,Marketable,Bills,1756005.4041,1951.1,1757956.5041,1,2017,4,2017,3,07,31
2017-07-31,Marketable,Floating Rate Notes,316655.5602,22.86,316678.4202,5,2017,4,2017,3,07,31
2017-07-31,Marketable,Bonds,1930927.8866,232.349,1931160.2356,3,2017,4,2017,3,07,31
2017-07-31,Marketable,Treasury Inflation-Protected Securities,1260444.71438591,166.6617205,1260611.37610641,4,2017,4,2017,3,07,31
2017-07-31,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2017,4,2017,3,07,31
2017-07-31,Marketable,Notes,8775867.1999,6442.822,8782310.0219,2,2017,4,2017,3,07,31
2017-07-31,Total Marketable,_,14039900.7651859,20272.9917205,14060173.7569064,7,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,United States Savings Securities,162607.6253789,0,162607.6253789,11,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,State and Local Government Series,84800.19839277,0,84800.19839277,10,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,Government Account Series,41718.08597351,5463691.56080687,5505409.64678038,12,2017,4,2017,3,07,31
2017-07-31,Nonmarketable,Other,1658.29926827,0,1658.29926827,13,2017,4,2017,3,07,31
2017-06-30,Marketable,Bills,1715828.9643,2129.1,1717958.0643,1,2017,3,2017,2,06,30
2017-06-30,Marketable,Bonds,1918661.3582,225.541,1918886.8992,3,2017,3,2017,2,06,30
2017-06-30,Marketable,Federal Financing Bank,0,11457.199,11457.199,6,2017,3,2017,2,06,30
2017-06-30,Marketable,Floating Rate Notes,341128.0794,24.592,341152.6714,5,2017,3,2017,2,06,30
2017-06-30,Marketable,Notes,8751867.91979999,6449.094,8758317.0138,2,2017,3,2017,2,06,30
2017-06-30,Marketable,Treasury Inflation-Protected Securities,1261485.48198413,159.611187,1261645.09317113,4,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,Government Account Series,90919.31460061,5457922.70089863,5548842.01549924,12,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,Other,1677.56180775,0,1677.56180775,13,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,State and Local Government Series,91463.3115198,0,91463.3115198,10,2017,3,2017,2,06,30
2017-06-30,Nonmarketable,United States Savings Securities,162894.83357052,0,162894.83357052,11,2017,3,2017,2,06,30
2017-06-30,Total Marketable,_,13988971.8036841,20445.137187,14009416.9408711,7,2017,3,2017,2,06,30
2017-06-30,Total Nonmarketable,_,377214.54349868,5457922.70089863,5835137.24439731,14,2017,3,2017,2,06,30
2017-06-30,Total Public Debt Outstanding,_,14366186.3471828,5478367.83808563,19844554.1852684,15,2017,3,2017,2,06,30
2017-05-31,Total Public Debt Outstanding,_,14298976.4950623,5546965.42067308,19845941.9157354,15,2017,3,2017,2,05,31
2017-05-31,Marketable,Bills,1745788.989,2169.7,1747958.689,1,2017,3,2017,2,05,31
2017-05-31,Marketable,Federal Financing Bank,0,13023.902,13023.902,6,2017,3,2017,2,05,31
2017-05-31,Marketable,Notes,8729402.9011,6466.154,8735869.0551,2,2017,3,2017,2,05,31
2017-05-31,Marketable,Floating Rate Notes,326532.69,39.747,326572.437,5,2017,3,2017,2,05,31
2017-05-31,Marketable,Bonds,1906667.0057,220.397,1906887.4027,3,2017,3,2017,2,05,31
2017-05-31,Marketable,Treasury Inflation-Protected Securities,1252191.11992348,151.1549848,1252342.27490828,4,2017,3,2017,2,05,31
2017-05-31,Total Marketable,_,13960582.7057235,22071.0549848,13982653.7607083,7,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,Government Account Series,43637.82168052,5524894.36568828,5568532.1873688,12,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,State and Local Government Series,99516.37924082,0,99516.37924082,10,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,United States Savings Securities,163367.60986877,0,163367.60986877,11,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,3,2017,2,05,31
2017-05-31,Nonmarketable,Other,1612.45654873,0,1612.45654873,13,2017,3,2017,2,05,31
2017-05-31,Total Nonmarketable,_,338393.78933884,5524894.36568828,5863288.15502712,14,2017,3,2017,2,05,31
2017-04-30,Total Nonmarketable,_,365299.25479872,5530483.79850371,5895783.05330243,14,2017,3,2017,2,04,30
2017-04-30,Total Public Debt Outstanding,_,14293344.6600289,5552784.53117211,19846129.191201,15,2017,3,2017,2,04,30
2017-04-30,Marketable,Bills,1739874.9498,2115.9,1741990.8498,1,2017,3,2017,2,04,30
2017-04-30,Marketable,Notes,8709934.8112,6775.765,8716710.5762,2,2017,3,2017,2,04,30
2017-04-30,Marketable,Bonds,1902274.5069,221.58,1902496.0869,3,2017,3,2017,2,04,30
2017-04-30,Marketable,Treasury Inflation-Protected Securities,1238391.4636302,152.8786684,1238544.3422986,4,2017,3,2017,2,04,30
2017-04-30,Marketable,Federal Financing Bank,0,13023.902,13023.902,6,2017,3,2017,2,04,30
2017-04-30,Marketable,Floating Rate Notes,337569.6737,10.707,337580.3807,5,2017,3,2017,2,04,30
2017-04-30,Total Marketable,_,13928045.4052302,22300.7326684,13950346.1378986,7,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,United States Savings Securities,163817.93205824,0,163817.93205824,11,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,State and Local Government Series,102783.7858244,0,102783.7858244,10,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,Government Account Series,66758.95916725,5530483.79850371,5597242.75767096,12,2017,3,2017,2,04,30
2017-04-30,Nonmarketable,Other,1679.05574883,0,1679.05574883,13,2017,3,2017,2,04,30
2017-03-31,Total Marketable,_,13944289.7630833,22379.8887806,13966669.6518639,7,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,United States Savings Securities,164286.4487636,0,164286.4487636,11,2017,2,2017,1,03,31
2017-03-31,Total Nonmarketable,_,425392.17385983,5454358.22459336,5879750.39845319,14,2017,2,2017,1,03,31
2017-03-31,Total Public Debt Outstanding,_,14369681.9369432,5476738.11337396,19846420.0503171,15,2017,2,2017,1,03,31
2017-03-31,Marketable,Bills,1754818.3962,2142,1756960.3962,1,2017,2,2017,1,03,31
2017-03-31,Marketable,Bonds,1890157.8438,239.69,1890397.5338,3,2017,2,2017,1,03,31
2017-03-31,Marketable,Treasury Inflation-Protected Securities,1266181.49608334,152.3177806,1266333.81386394,4,2017,2,2017,1,03,31
2017-03-31,Marketable,Notes,8695551.6463,6821.979,8702373.6253,2,2017,2,2017,1,03,31
2017-03-31,Marketable,Floating Rate Notes,337580.3807,0,337580.3807,5,2017,2,2017,1,03,31
2017-03-31,Marketable,Federal Financing Bank,0,13023.902,13023.902,6,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,State and Local Government Series,106228.53219724,0,106228.53219724,10,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,Government Account Series,122864.15565098,5454358.22459336,5577222.38024434,12,2017,2,2017,1,03,31
2017-03-31,Nonmarketable,Other,1753.51524801,0,1753.51524801,13,2017,2,2017,1,03,31
2017-02-28,Marketable,Bills,1750697.5443,2265.4,1752962.9443,1,2017,2,2017,1,02,28
2017-02-28,Marketable,Notes,8677837.12549999,6798.299,8684635.42449999,2,2017,2,2017,1,02,28
2017-02-28,Marketable,Bonds,1878200.0886,197.793,1878397.8816,3,2017,2,2017,1,02,28
2017-02-28,Total Marketable,_,13876477.2672456,22449.4202133,13898926.6874589,7,2017,2,2017,1,02,28
2017-02-28,Total Nonmarketable,_,534903.71746145,5525763.24593974,6060666.96340119,14,2017,2,2017,1,02,28
2017-02-28,Total Public Debt Outstanding,_,14411380.9847071,5548212.66615304,19959593.6508601,15,2017,2,2017,1,02,28
2017-02-28,Marketable,Treasury Inflation-Protected Securities,1246759.59504562,140.2762133,1246899.87125892,4,2017,2,2017,1,02,28
2017-02-28,Marketable,Federal Financing Bank,0,13023.902,13023.902,6,2017,2,2017,1,02,28
2017-02-28,Marketable,Floating Rate Notes,322982.9138,23.75,323006.6638,5,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,State and Local Government Series,105934.56082467,0,105934.56082467,10,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,Government Account Series,232204.4760637,5525763.24593974,5757967.72200344,12,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,United States Savings Securities,164791.84081021,0,164791.84081021,11,2017,2,2017,1,02,28
2017-02-28,Nonmarketable,Other,1713.31776287,0,1713.31776287,13,2017,2,2017,1,02,28
2017-01-31,Marketable,Bills,1759618.909,2359.9,1761978.809,1,2017,2,2017,1,01,31
2017-01-31,Marketable,Bonds,1861476.7639,189.435,1861666.1989,3,2017,2,2017,1,01,31
2017-01-31,Marketable,Treasury Inflation-Protected Securities,1238451.44757927,153.4182626,1238604.86584187,4,2017,2,2017,1,01,31
2017-01-31,Marketable,Floating Rate Notes,309980.2904,26.475,310006.7654,5,2017,2,2017,1,01,31
2017-01-31,Marketable,Notes,8671703.7878,6776.415,8678480.2028,2,2017,2,2017,1,01,31
2017-01-31,Marketable,Federal Financing Bank,0,13023.902,13023.902,6,2017,2,2017,1,01,31
2017-01-31,Total Marketable,_,13841231.1986793,22529.5452626,13863760.7439419,7,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,United States Savings Securities,165154.54600462,0,165154.54600462,11,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,State and Local Government Series,107675.25534151,0,107675.25534151,10,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,Government Account Series,230097.17469843,5538592.96570588,5768690.14040431,12,2017,2,2017,1,01,31
2017-01-31,Nonmarketable,Other,1721.10530511,0,1721.10530511,13,2017,2,2017,1,01,31
2017-01-31,Total Nonmarketable,_,534907.60334967,5538592.96570588,6073500.56905555,14,2017,2,2017,1,01,31
2017-01-31,Total Public Debt Outstanding,_,14376138.8020289,5561122.51096848,19937261.3129974,15,2017,2,2017,1,01,31
2016-12-31,Nonmarketable,United States Savings Securities,165853.17986322,0,165853.17986322,11,2017,1,2016,4,12,31
2016-12-31,Nonmarketable,Domestic Series,29995.18,0,29995.18,8,2017,1,2016,4,12,31
2016-12-31,Nonmarketable,Government Account Series,228406.40609498,5519526.54300753,5747932.94910251,12,2017,1,2016,4,12,31
2016-12-31,Nonmarketable,Other,1737.14307477,0,1737.14307477,13,2017,1,2016,4,12,31
2016-12-31,Total Nonmarketable,_,536035.17492836,5519526.54300753,6055561.71793589,14,2017,1,2016,4,12,31
2016-12-31,Total Public Debt Outstanding,_,14434842.2903118,5541985.43011943,19976826.7204312,15,2017,1,2016,4,12,31
2016-12-31,Marketable,Bills,1815667.38,2295.9,1817963.28,1,2017,1,2016,4,12,31
2016-12-31,Marketable,Bonds,1848817.413,183.983,1849001.396,3,2017,1,2016,4,12,31
2016-12-31,Marketable,Treasury Inflation-Protected Securities,1247053.75488344,148.9691119,1247202.72399534,4,2017,1,2016,4,12,31
2016-12-31,Marketable,Notes,8652237.8425,6779.658,8659017.5005,2,2017,1,2016,4,12,31
